1	15
2	2
3	5
4	22
5	7
6	19
7	4
8	32
9	18
10	54
11	47
12	39
13	156
14	8
15	25
16	50
17	63
18	177
19	202
20	29
21	171
22	93
23	174
24	60
25	10
26	9
27	155
28	30
29	275
30	199
31	121
32	38
33	23
34	11
35	86
36	37
37	36
38	133
39	26
40	43
41	34
42	76
43	150
44	3
45	110
46	59
47	209
48	64
49	14
50	17
51	53
52	227
53	40
54	33
55	205
56	179
57	45
58	215
59	46
60	98
61	90
62	55
63	172
64	44
65	235
66	68
67	115
68	48
69	142
70	157
71	109
72	151
73	6
74	212
75	165
76	137
77	211
78	58
79	159
80	49
81	12
82	112
83	89
84	295
85	118
86	73
87	127
88	35
89	242
90	81
91	102
92	139
93	57
94	103
95	196
96	206
97	123
98	138
99	28
100	88
101	119
102	318
103	91
104	87
105	71
106	104
107	41
108	153
109	129
110	158
111	207
112	74
113	140
114	260
115	56
116	195
117	191
118	78
119	80
120	147
121	131
122	85
123	187
124	145
125	61
126	336
127	67
128	100
129	107
130	65
131	168
132	274
133	99
134	161
135	95
136	253
137	135
138	163
139	181
140	128
141	164
142	286
143	173
144	339
145	83
146	24
147	116
148	198
149	268
150	146
151	341
152	309
153	233
154	13
155	261
156	222
157	282
158	220
159	248
160	229
161	230
162	280
163	249
164	263
165	120
166	365
167	320
168	408
169	70
170	273
171	218
172	382
173	240
174	130
175	245
176	21
177	148
178	421
179	16
180	169
181	333
182	221
183	79
184	459
185	1
186	124
187	96
188	291
189	66
190	117
191	190
192	144
193	75
194	407
195	255
196	114
197	143
198	132
199	101
200	77
201	94
202	69
203	134
204	184
205	321
206	84
207	162
208	27
209	42
210	136
211	72
212	97
213	154
214	234
215	167
216	178
217	92
218	62
219	108
220	51
221	82
222	254
223	327
224	125
225	52
226	113
227	188
228	149
229	152
230	192
231	225
232	204
233	166
234	20
235	214
236	526
237	231
238	217
239	31
240	126
241	106
242	122
243	219
244	105
245	200
246	312
247	141
248	244
249	278
250	189
251	246
252	186
253	201
254	185
255	111
256	228
257	300
258	509
259	208
260	354
261	351
262	270
263	180
264	440
265	258
266	176
267	224
268	236
269	361
270	319
271	285
272	175
273	584
274	317
275	238
276	264
277	307
278	183
279	348
280	182
281	466
282	160
283	375
284	334
285	353
286	376
287	256
288	267
289	463
290	243
291	331
292	482
293	194
294	352
295	538
296	299
297	288
298	170
299	247
300	345
301	294
302	305
303	301
304	223
305	325
306	313
307	380
308	277
309	216
310	252
311	478
312	432
313	266
314	239
315	371
316	314
317	259
318	449
319	388
320	262
321	297
322	311
323	284
324	226
325	250
326	374
327	414
328	304
329	289
330	419
331	293
332	265
333	392
334	397
335	210
336	357
337	373
338	315
339	323
340	454
341	347
342	335
343	399
344	355
345	383
346	257
347	296
348	193
349	360
350	316
351	306
352	372
353	329
354	430
355	416
356	279
357	364
358	298
359	398
360	405
361	346
362	322
363	292
364	330
365	445
366	203
367	276
